name,vacancy_rate,rental_stock,population,rental_pop,state
Queanbeyan-Palerang Regional,0.96,280,56028,24.44,New South Wales
Snowy Monaro Regional,1.1,160,20215,19.07,New South Wales
Eurobodalla,0.52,135,37232,16.61,New South Wales
Bega Valley,0.31,67,33246,18.01,New South Wales
Goulburn Mulwaree,0.78,127,29614,23.69,New South Wales
Yass Valley,0.4,32,16146,16.2,New South Wales
Hilltops,0.39,38,18501,21.17,New South Wales
Central Coast,0.71,1134,327737,23.41,New South Wales
Mitcham,0.33,92,64806,17.93,South Australia
Bathurst Regional,0.99,196,41300,25.73,New South Wales
Oberon,0.42,13,5295,17.07,New South Wales
Lachlan,0.14,7,6196,24.01,New South Wales
Cowra,0.37,25,12458,21.68,New South Wales
Forbes,1.0,55,9586,22.69,New South Wales
Weddin,0.23,5,3659,15.59,New South Wales
Bland,0.17,6,5951,17.69,New South Wales
Lithgow,0.48,53,21090,20.52,New South Wales
Mid-Western Regional,1.51,205,24071,21.78,New South Wales
Singleton,0.74,84,22991,24.19,New South Wales
Blayney,0.57,20,7257,19.67,New South Wales
Orange,1.27,247,40349,28.77,New South Wales
Clarence Valley,0.51,145,50670,21.15,New South Wales
Joondalup,0.41,263,154445,15.71,Western Australia
Bellingen,0.47,32,12667,21.07,New South Wales
Coffs Harbour,0.82,309,72954,26.74,New South Wales
Bundaberg,0.52,255,92892,24.63,Queensland
Bourke,,0,2630,27.14,New South Wales
Brewarrina,,0,1643,45.7,New South Wales
Cobar,0.29,8,4645,27.07,New South Wales
Coonamble,0.13,3,3922,21.57,New South Wales
Bogan,0.14,3,2687,24.35,New South Wales
Warren,0.31,5,2735,23.83,New South Wales
Walgett,0.05,2,6109,26.01,New South Wales
NSW,0.26,29,1059,17.8,New South Wales
Warrumbungle Shire,0.15,9,9388,19.21,New South Wales
Western Plains Regional,1.04,257,50076,26.46,New South Wales
Gilgandra,0.13,3,4235,22.66,New South Wales
Narromine,0.21,7,6441,22.89,New South Wales
Cessnock,0.97,280,55568,24.27,New South Wales
Dungog,0.36,17,8973,14.65,New South Wales
Maitland,0.95,376,77305,27.0,New South Wales
Port Stephens,0.55,207,69551,20.84,New South Wales
Charles Sturt,0.6,346,111759,29.17,South Australia
Mid-Coast,0.51,268,90307,20.26,New South Wales
Muswellbrook,0.9,72,16080,31.49,New South Wales
Upper Hunter Shire,0.47,36,14112,23.38,New South Wales
Wollongong,0.86,825,203627,27.34,New South Wales
Shellharbour,0.63,227,68456,24.22,New South Wales
Kiama,0.54,61,21468,16.29,New South Wales
Kempsey,0.42,66,28887,21.18,New South Wales
Nambucca,0.53,59,19209,22.56,New South Wales
Port Macquarie-Hastings,0.66,296,78542,23.98,New South Wales
Albury,1.08,296,51079,29.02,New South Wales
Hay,0.1,2,2947,22.25,New South Wales
Wentworth,0.34,14,6800,19.76,New South Wales
Federation,0.43,32,12281,17.72,New South Wales
Murray River,0.19,23,11680,18.54,New South Wales
Berrigan,0.39,19,8462,19.0,New South Wales
Murrumbidgee,0.3,6,3835,25.89,New South Wales
Armidale Regional,1.36,202,29451,29.95,New South Wales
Walcha,0.06,1,3092,18.7,New South Wales
Glen Innes Severn,0.41,20,8834,21.35,New South Wales
Inverell,0.57,45,16487,26.22,New South Wales
Tenterfield,0.43,21,6629,17.39,New South Wales
Moree Plains,0.69,47,13158,31.28,New South Wales
Narrabri,0.27,17,13081,25.97,New South Wales
Gunnedah,0.51,32,12215,27.24,New South Wales
Liverpool Plains,0.38,16,7691,23.55,New South Wales
Tamworth Regional,0.95,282,59660,26.34,New South Wales
Greater Geelong,0.96,1414,233426,23.3,Victoria
Lake Macquarie,0.51,488,197369,21.07,New South Wales
Newcastle,1.27,1040,155409,31.53,New South Wales
Moyne,0.15,15,16500,15.41,Victoria
Southern Grampians,0.07,6,15937,18.09,Victoria
Launceston,0.92,299,65275,30.07,Tasmania
Karratha,0.7,72,21472,51.15,Western Australia
Tablelands,0.21,31,24830,21.92,Queensland
Ballina,0.71,165,41792,25.06,New South Wales
Byron,0.55,104,31555,23.52,New South Wales
Richmond Valley,0.36,47,22815,25.27,New South Wales
Lismore,0.57,121,43134,25.09,New South Wales
Kyogle,0.31,15,8940,18.34,New South Wales
Tweed,0.55,260,91371,23.21,New South Wales
Leeton,0.48,24,11162,24.0,New South Wales
Narrandera,0.44,13,5852,20.75,New South Wales
Snowy Valleys,0.27,21,14394,20.11,New South Wales
Gundagai,0.46,27,11145,20.04,New South Wales
Junee,0.6,17,6295,21.39,New South Wales
Temora,0.58,19,6107,19.61,New South Wales
Wagga Wagga,1.28,379,62388,29.58,New South Wales
Shoalhaven,0.41,257,99654,18.36,New South Wales
Yarra Ranges,0.28,191,149539,13.37,Victoria
Wingecarribee,0.87,223,47878,16.9,New South Wales
Brisbane,1.39,7640,1131159,32.91,Queensland
The Hills Shire,1.08,819,157243,16.53,New South Wales
Hornsby,0.94,518,142666,20.89,New South Wales
Hawkesbury,0.59,156,64588,21.99,New South Wales
Brimbank,0.7,532,194317,23.53,Victoria
Whitehorse,1.35,1026,162076,25.58,Victoria
Glenelg,0.31,35,19558,18.16,Victoria
Blacktown,1.23,1671,336970,29.79,New South Wales
Onkaparinga,0.34,271,166769,22.4,South Australia
Prospect,0.82,73,20518,28.85,South Australia
Parramatta,2.2,2440,226155,37.68,New South Wales
Botany Bay,2.41,686,46652,38.97,New South Wales
Inner West,1.79,1607,182038,37.82,New South Wales
Norwood Payneham St Peters,0.91,183,35360,33.99,South Australia
Sydney,3.63,4606,208378,49.98,New South Wales
Mundaring,0.09,14,38157,11.1,Western Australia
Cardinia,0.79,396,94134,20.94,Victoria
Waverley,1.94,607,66813,38.77,New South Wales
Randwick,1.7,1095,140662,41.2,New South Wales
Woollahra,1.75,576,54244,30.73,New South Wales
Canterbury-Bankstown,1.19,1748,346298,32.78,New South Wales
Boroondara,1.26,1064,167232,26.89,Victoria
Georges River,1.22,706,146835,29.1,New South Wales
Rockdale,1.94,1059,109403,32.68,New South Wales
Melbourne,3.92,5221,135965,52.2,Victoria
Canada Bay,2.1,852,88018,33.01,New South Wales
Yarra,1.65,950,86658,45.73,Victoria
Burwood,2.16,434,36815,37.77,New South Wales
Port Adelaide Enfield,0.55,341,121233,32.84,South Australia
Strathfield,2.53,601,40314,37.71,New South Wales
Maroondah,0.69,335,110375,21.88,Victoria
Lane Cove,1.48,280,36050,31.14,New South Wales
