name,vacancy_rate,rental_stock,population,rental_pop,state,region
Braidwood,0.66,6,1647.0,21.54,New South Wales,Queanbeyan-Palerang Regional
Karabar,0.63,22,8241.0,26.85,New South Wales,Queanbeyan-Palerang Regional
Queanbeyan,1.2,41,6236.0,38.85,New South Wales,Queanbeyan-Palerang Regional
Queanbeyan West,0.8,11,3136.0,29.31,New South Wales,Queanbeyan-Palerang Regional
Jerrabomberra,0.57,19,9505.0,19.9,New South Wales,Queanbeyan-Palerang Regional
Googong,1.35,41,2691.0,6.39,New South Wales,Queanbeyan-Palerang Regional
Bombala,0.39,3,1387.0,20.0,New South Wales,Snowy Monaro Regional
Cooma,0.83,29,6681.0,25.95,New South Wales,Snowy Monaro Regional
Jindabyne,3.05,79,2628.0,29.76,New South Wales,Snowy Monaro Regional
Berridale,3.26,25,1194.0,19.66,New South Wales,Snowy Monaro Regional
Batemans Bay,1.23,15,1532.0,35.99,New South Wales,Eurobodalla
Bega,0.52,13,4670.0,28.83,New South Wales,Bega Valley
Tathra,0.9,10,1676.0,24.95,New South Wales,Bega Valley
Broulee,1.43,20,1717.0,16.13,New South Wales,Eurobodalla
Tomakin,0.13,1,1001.0,12.8,New South Wales,Eurobodalla
Deua,,0,,,New South Wales,Eurobodalla
Wadbilliga,,0,,,New South Wales,Bega Valley
Eden,0.45,8,3151.0,26.88,New South Wales,Bega Valley
Merimbula,0.67,18,3542.0,24.52,New South Wales,Bega Valley
Tura Beach,0.29,5,3163.0,11.46,New South Wales,Bega Valley
Moruya,0.4,9,3977.0,20.84,New South Wales,Eurobodalla
Tuross Head,0.9,16,2241.0,13.05,New South Wales,Eurobodalla
Narooma,0.3,6,2607.0,20.12,New South Wales,Eurobodalla
Bermagui,0.29,4,1542.0,17.57,New South Wales,Bega Valley
Goulburn,0.79,94,22418.0,28.62,New South Wales,Goulburn Mulwaree
Yass,0.61,19,6506.0,21.05,New South Wales,Yass Valley
Young,0.66,32,10297.0,26.15,New South Wales,Hilltops
Avoca Beach,0.8,19,4583.0,12.99,New South Wales,Central Coast
Copacabana,0.96,14,2730.0,15.43,New South Wales,Central Coast
Box Head,,0,,,New South Wales,Central Coast
Macmasters Beach,1.04,9,1293.0,9.27,New South Wales,Central Coast
Calga,,0,138.0,30.0,New South Wales,Central Coast
Kulnura,0.36,1,603.0,18.08,New South Wales,Central Coast
Erina,0.25,7,4779.0,21.49,New South Wales,Central Coast
Gosford,1.72,47,3500.0,55.23,New South Wales,Central Coast
Springfield,,0,525.0,4.66,South Australia,Mitcham
Kariong,0.36,8,6385.0,19.06,New South Wales,Central Coast
Kincumber,0.28,9,7091.0,22.91,New South Wales,Central Coast
Picketts Valley,1.25,1,218.0,4.35,New South Wales,Central Coast
Narara,0.32,10,7930.0,18.22,New South Wales,Central Coast
Niagara Park,0.46,5,2742.0,24.24,New South Wales,Central Coast
Lisarow,0.35,7,5141.0,15.72,New South Wales,Central Coast
Point Clare,0.59,10,3736.0,21.75,New South Wales,Central Coast
Koolewong,0.48,2,865.0,18.48,New South Wales,Central Coast
Saratoga,0.44,7,3945.0,13.2,New South Wales,Central Coast
Davistown,0.37,5,2487.0,17.64,New South Wales,Central Coast
Terrigal,1.07,63,11347.0,20.38,New South Wales,Central Coast
North Avoca,0.67,7,2204.0,13.23,New South Wales,Central Coast
Booker Bay,0.91,8,1328.0,26.24,New South Wales,Central Coast
Patonga,,0,201.0,6.56,New South Wales,Central Coast
Wamberal,0.97,26,6550.0,14.91,New South Wales,Central Coast
Forresters Beach,0.49,7,2895.0,19.93,New South Wales,Central Coast
Woy Woy,0.55,31,10640.0,31.28,New South Wales,Central Coast
Blackwall,0.9,9,1886.0,25.75,New South Wales,Central Coast
Wyoming,0.49,21,10135.0,25.5,New South Wales,Central Coast
Bateau Bay,0.28,15,12148.0,22.68,New South Wales,Central Coast
Killarney Vale,0.64,20,7214.0,23.67,New South Wales,Central Coast
Blue Haven,0.76,18,6378.0,26.33,New South Wales,Central Coast
San Remo,0.66,12,4351.0,26.92,New South Wales,Central Coast
Budgewoi,0.48,9,3366.0,23.84,New South Wales,Central Coast
Buff Point,0.57,9,3506.0,19.01,New South Wales,Central Coast
Halekulani,0.69,9,2538.0,17.65,New South Wales,Central Coast
Chittaway Bay,0.5,4,2025.0,18.34,New South Wales,Central Coast
Tumbi Umbi,0.23,5,5109.0,17.02,New South Wales,Central Coast
Gorokan,1.12,46,8369.0,29.01,New South Wales,Central Coast
Kanwal,0.34,6,4100.0,22.64,New South Wales,Central Coast
Charmhaven,1.52,17,2545.0,25.08,New South Wales,Central Coast
Jilliby,0.16,1,1644.0,5.66,New South Wales,Central Coast
Yarramalong,,0,346.0,8.72,New South Wales,Central Coast
Lake Munmorah,0.37,9,5247.0,14.16,New South Wales,Central Coast
Mannering Park,0.27,3,2471.0,21.31,New South Wales,Central Coast
Ourimbah,0.7,11,3955.0,22.75,New South Wales,Central Coast
Fountaindale,,0,701.0,2.79,New South Wales,Central Coast
Summerland Point,0.55,7,2495.0,16.45,New South Wales,Central Coast
Gwandalan,0.98,17,3278.0,15.51,New South Wales,Central Coast
The Entrance,1.54,52,4004.0,35.32,New South Wales,Central Coast
Toukley,0.78,19,4554.0,31.98,New South Wales,Central Coast
Norah Head,0.19,1,1132.0,16.31,New South Wales,Central Coast
Tuggerah,0.2,1,927.0,32.85,New South Wales,Central Coast
Kangy Angy,2.17,3,306.0,8.08,New South Wales,Central Coast
Warnervale,0.71,4,639.0,18.63,New South Wales,Central Coast
Wadalba,1.17,18,2838.0,37.04,New South Wales,Central Coast
Wyong,0.91,20,4330.0,36.05,New South Wales,Central Coast
Bathurst,1.99,82,6928.0,41.48,New South Wales,Bathurst Regional
Oberon,0.58,10,3252.0,21.35,New South Wales,Oberon
Condobolin,0.3,7,3490.0,26.2,New South Wales,Lachlan
Cowra,0.45,23,10060.0,24.67,New South Wales,Cowra
Forbes,1.19,52,8432.0,23.04,New South Wales,Forbes
Grenfell,0.2,3,2565.0,18.04,New South Wales,Weddin
West Wyalong,0.18,3,3146.0,20.71,New South Wales,Bland
Lithgow,0.7,20,5202.0,28.87,New South Wales,Lithgow
Mudgee,2.67,147,10925.0,30.75,New South Wales,Mid-Western Regional
Wollangambe,,0,,,New South Wales,Lithgow
Wollemi,,0,,,New South Wales,Singleton
Blayney,0.74,12,3381.0,26.7,New South Wales,Blayney
Orange,1.06,204,38101.0,29.68,New South Wales,Orange
Grafton,0.65,33,10409.0,30.18,New South Wales,Clarence Valley
Maclean,0.84,11,2624.0,29.57,New South Wales,Clarence Valley
Yamba,0.72,34,6077.0,22.97,New South Wales,Clarence Valley
Iluka,0.21,4,5269.0,8.59,Western Australia,Joondalup
Bellingen,0.54,10,3781.0,25.88,New South Wales,Bellingen
Coffs Harbour,1.13,149,25753.0,34.3,New South Wales,Coffs Harbour
Coramba,0.59,2,814.0,11.71,New South Wales,Coffs Harbour
Nana Glen,0.43,2,1049.0,14.39,New South Wales,Coffs Harbour
Bucca,0.87,4,1031.0,8.17,Queensland,Bundaberg
Dorrigo,0.72,5,1185.0,18.01,New South Wales,Bellingen
Korora,1.34,17,2489.0,21.67,New South Wales,Coffs Harbour
Emerald Beach,0.93,10,2235.0,17.22,New South Wales,Coffs Harbour
Sawtell,0.76,16,3683.0,26.43,New South Wales,Coffs Harbour
Boambee,,0,1667.0,11.35,New South Wales,Coffs Harbour
Urunga,0.41,8,2999.0,25.22,New South Wales,Bellingen
Woolgoolga,0.79,24,5289.0,24.66,New South Wales,Coffs Harbour
Arrawarra,0.09,1,526.0,11.83,New South Wales,Coffs Harbour
Bourke,,0,1915.0,29.93,New South Wales,Bourke
Brewarrina,,0,1143.0,48.35,New South Wales,Brewarrina
Cobar,0.46,10,3990.0,28.52,New South Wales,Cobar
Coonamble,0.13,2,2754.0,23.0,New South Wales,Coonamble
Nyngan,0.15,2,2160.0,27.09,New South Wales,Bogan
Warren,0.39,3,1382.0,23.42,New South Wales,Warren
Walgett,,0,2142.0,37.51,New South Wales,Walgett
Lightning Ridge,0.12,2,2279.0,23.31,New South Wales,Walgett
Broken Hill,0.45,44,17816.0,18.34,New South Wales,NSW
Coonabarabran,0.25,5,3290.0,24.87,New South Wales,Warrumbungle Shire
Dubbo,1.0,197,38942.0,28.61,New South Wales,Western Plains Regional
Gilgandra,0.13,2,3124.0,25.68,New South Wales,Gilgandra
Narromine,0.48,11,4696.0,23.47,New South Wales,Narromine
Wellington,1.13,23,4083.0,29.19,New South Wales,Western Plains Regional
Branxton,0.5,5,1990.0,15.59,New South Wales,Singleton
Greta,0.76,11,2830.0,21.31,New South Wales,Cessnock
Pokolbin,,0,962.0,10.93,New South Wales,Cessnock
Cessnock,1.12,80,15179.0,33.03,New South Wales,Cessnock
Dungog,0.59,6,2027.0,21.14,New South Wales,Dungog
