Suburb,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%),Previous month sales,Stock on market previous month,Stock variance vs. last year (%),Average days on market
Braidwood,789000.0,-1.26,-2.84,13.19,520.0,3.42,6.12,5.0,37.0,37.04,152.0
Karabar,750000.0,-1.19,-1.64,-6.25,655.0,4.54,0.76,12.0,29.0,-3.33,66.0
Queanbeyan,839000.0,3.65,5.53,2.0,605.0,3.74,4.31,7.0,32.0,6.67,91.0
Queanbeyan West,880000.0,,12.82,,670.0,3.95,5.51,4.0,14.0,7.69,
Jerrabomberra,1177500.0,3.39,18.34,8.22,780.0,3.44,2.63,13.0,44.0,-15.38,84.0
Googong,1075000.0,-1.42,1.94,5.39,800.0,3.86,2.56,9.0,123.0,4.24,109.0
Bombala,420000.0,3.27,13.51,13.51,,,,1.0,18.0,12.5,209.0
Cooma,560000.0,0.35,-1.76,0.0,490.0,4.55,4.25,12.0,82.0,13.89,129.0
Jindabyne,1397000.0,-0.36,-1.62,-4.97,900.0,3.35,9.09,6.0,37.0,37.04,143.0
Berridale,727500.0,0.0,-6.74,4.67,580.0,4.14,-3.34,1.0,15.0,15.38,135.0
Batemans Bay,740000.0,0.0,2.77,-1.34,470.0,3.3,4.44,4.0,19.0,-20.83,166.0
Bega,699500.0,-2.78,0.64,7.69,550.0,4.08,12.24,6.0,61.0,41.86,141.0
Tathra,1200000.0,-16.37,-14.29,-7.7,600.0,2.6,-3.23,0.0,26.0,18.18,147.0
Broulee,1195000.0,-1.92,-0.38,-2.45,630.0,2.74,5.0,3.0,16.0,-20.0,98.0
Tomakin,940000.0,4.86,1.18,1.67,,,,2.0,20.0,185.71,66.0
Deua,,,,,,,,,,,
Wadbilliga,,,,,,,,,,,
Eden,855000.0,2.45,9.26,7.27,575.0,3.49,9.52,6.0,67.0,19.64,212.0
Merimbula,1095000.0,4.81,11.79,9.5,650.0,3.08,0.0,4.0,39.0,30.0,163.0
Tura Beach,987500.0,-2.0,-5.51,-5.96,670.0,3.52,9.83,11.0,52.0,26.83,116.0
Moruya,890000.0,0.11,-3.06,4.7,550.0,3.21,0.0,1.0,26.0,-33.33,179.0
Tuross Head,854000.0,1.69,6.88,3.01,510.0,3.1,-7.28,7.0,51.0,41.67,148.0
Narooma,950000.0,5.03,13.43,5.67,495.0,2.7,-6.61,7.0,35.0,-12.5,282.0
Bermagui,1112500.0,-3.68,-6.87,3.97,,,,3.0,42.0,68.0,149.0
