Suburb,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%)
Braidwood,,,,,,,
Karabar,630000.0,-2.86,,,580.0,4.78,1.75
Queanbeyan,589000.0,0.0,-1.01,-3.29,550.0,4.85,5.76
Queanbeyan West,,,,,,,
Jerrabomberra,645000.0,-14.52,-20.38,-18.36,570.0,4.59,0.88
Googong,709000.0,0.0,-2.08,7.42,650.0,4.76,0.0
Bombala,,,,,,,
Cooma,,,,,,,
Jindabyne,998500.0,-4.11,-4.91,,600.0,3.12,4.34
Berridale,,,,,,,
Batemans Bay,,,,,,,
Bega,,,,,,,
Tathra,,,,,,,
Broulee,,,,,,,
Tomakin,,,,,,,
Deua,,,,,,,
Wadbilliga,,,,,,,
Eden,,,,,,,
Merimbula,824500.0,0.0,9.93,-8.29,570.0,3.59,
Tura Beach,749000.0,-1.37,-6.38,-9.22,600.0,4.16,
Moruya,,,,,,,
Tuross Head,,,,,,,
Narooma,637500.0,4.34,0.39,6.33,425.0,3.46,-5.56
Bermagui,823000.0,0.0,3.13,,,,
Goulburn,599000.0,0.0,-4.93,-7.06,450.0,3.9,0.0
Yass,,,,,480.0,,6.66
Young,,,,,,,
Avoca Beach,,,,,780.0,,11.42
Copacabana,,,,,,,
Box Head,,,,,,,
Macmasters Beach,,,,,,,
Calga,,,,,,,
Kulnura,,,,,,,
Erina,,,,,,,
Gosford,,,,,500.0,,6.38
Springfield,,,,,,,
Kariong,,,,,550.0,,6.79
Kincumber,,,,,560.0,,15.46
Picketts Valley,,,,,,,
Narara,,,,,550.0,,11.11
Niagara Park,,,,,,,
Lisarow,,,,,,,
Point Clare,,,,,550.0,,
Koolewong,,,,,,,
Saratoga,,,,,,,
Davistown,,,,,,,
Terrigal,1200000.0,2.12,11.62,21.21,750.0,3.25,7.14
North Avoca,,,,,,,
Booker Bay,1262500.0,-8.34,41.06,32.89,605.0,2.49,10.0
Patonga,,,,,,,
Wamberal,,,,,750.0,,12.78
Forresters Beach,,,,,,,
Woy Woy,710000.0,0.07,2.15,9.31,530.0,3.88,6.0
Blackwall,,,,,,,
Wyoming,590000.0,-7.25,-7.09,,500.0,4.4,0.0
Bateau Bay,430000.0,-27.43,-34.85,-40.2,585.0,7.07,-1.69
Killarney Vale,,,,,,,
Blue Haven,,,,,,,
San Remo,,,,,,,
Budgewoi,,,,,,,
