Suburb,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%),Previous month sales,Stock on market previous month,Stock variance vs. last year (%),Average days on market
Braidwood,,,,,,,,0.0,2.0,-33.33,
Karabar,,,,,430.0,,,0.0,4.0,-33.33,
Queanbeyan,360000.0,-0.14,0.0,4.34,390.0,5.63,0.0,8.0,23.0,-14.81,85.0
Queanbeyan West,,,,,,,,0.0,1.0,0.0,
Jerrabomberra,,,,,,,,0.0,1.0,100.0,
Googong,,,,,535.0,,9.18,1.0,6.0,-25.0,148.0
Bombala,,,,,,,,0.0,0.0,0.0,
Cooma,,,,,310.0,,-3.13,0.0,0.0,-100.0,
Jindabyne,730000.0,-1.68,5.41,1.38,500.0,3.56,6.38,3.0,27.0,28.57,133.0
Berridale,,,,,420.0,,-1.18,0.0,2.0,0.0,
Batemans Bay,599500.0,-14.0,-4.69,-6.19,395.0,3.42,-1.25,5.0,33.0,43.48,172.0
Bega,,,,,,,,0.0,5.0,400.0,
Tathra,,,,,435.0,,-3.34,0.0,3.0,200.0,
Broulee,,,,,,,,1.0,4.0,100.0,
Tomakin,,,,,,,,1.0,3.0,50.0,
Deua,,,,,,,,,,,
Wadbilliga,,,,,,,,,,,
Eden,461500.0,0.0,-6.77,-0.22,,,,0.0,10.0,-16.67,176.0
Merimbula,499000.0,-5.61,-8.86,-0.11,480.0,5.0,6.66,5.0,61.0,7.02,173.0
Tura Beach,759500.0,,,,,,,1.0,4.0,-33.33,133.0
Moruya,,,,,,,,0.0,4.0,100.0,
Tuross Head,,,,,,,,0.0,2.0,100.0,
Narooma,537000.0,0.37,8.48,6.33,380.0,3.67,0.0,0.0,6.0,-64.71,201.0
Bermagui,,,,,,,,0.0,3.0,-40.0,203.0
Goulburn,334500.0,-10.96,-15.32,-11.75,340.0,5.28,6.25,4.0,14.0,-26.32,157.0
Yass,,,,,,,,0.0,1.0,0.0,
Young,365000.0,,7.35,,285.0,4.06,9.61,1.0,2.0,-60.0,172.0
Avoca Beach,1072500.0,0.0,,,650.0,3.15,8.33,2.0,8.0,-11.11,142.0
Copacabana,,,,,510.0,,-8.93,0.0,0.0,0.0,
Box Head,,,,,,,,0.0,0.0,0.0,
