,name,region,state
0,Braidwood,Queanbeyan-Palerang Regional,New South Wales
1,Karabar,Queanbeyan-Palerang Regional,New South Wales
2,Queanbeyan,Queanbeyan-Palerang Regional,New South Wales
3,Queanbeyan West,Queanbeyan-Palerang Regional,New South Wales
4,Jerrabomberra,Queanbeyan-Palerang Regional,New South Wales
5,Googong,Queanbeyan-Palerang Regional,New South Wales
6,Bombala,Snowy Monaro Regional,New South Wales
7,Cooma,Snowy Monaro Regional,New South Wales
8,Jindabyne,Snowy Monaro Regional,New South Wales
9,Berridale,Snowy Monaro Regional,New South Wales
10,Batemans Bay,Eurobodalla,New South Wales
11,Bega,Bega Valley,New South Wales
12,Tathra,Bega Valley,New South Wales
13,Broulee,Eurobodalla,New South Wales
14,Tomakin,Eurobodalla,New South Wales
15,Deua,Eurobodalla,New South Wales
16,Wadbilliga,Bega Valley,New South Wales
17,Eden,Bega Valley,New South Wales
18,Merimbula,Bega Valley,New South Wales
19,Tura Beach,Bega Valley,New South Wales
20,Moruya,Eurobodalla,New South Wales
21,Tuross Head,Eurobodalla,New South Wales
22,Narooma,Eurobodalla,New South Wales
23,Bermagui,Bega Valley,New South Wales
24,Goulburn,Goulburn Mulwaree,New South Wales
25,Yass,Yass Valley,New South Wales
26,Young,Hilltops,New South Wales
27,Avoca Beach,Central Coast,New South Wales
28,Copacabana,Central Coast,New South Wales
29,Box Head,Central Coast,New South Wales
30,Macmasters Beach,Central Coast,New South Wales
31,Calga,Central Coast,New South Wales
32,Kulnura,Central Coast,New South Wales
33,Erina,Central Coast,New South Wales
34,Gosford,Central Coast,New South Wales
35,Springfield,Mitcham,South Australia
36,Kariong,Central Coast,New South Wales
37,Kincumber,Central Coast,New South Wales
38,Picketts Valley,Central Coast,New South Wales
39,Narara,Central Coast,New South Wales
40,Niagara Park,Central Coast,New South Wales
41,Lisarow,Central Coast,New South Wales
42,Point Clare,Central Coast,New South Wales
43,Koolewong,Central Coast,New South Wales
44,Saratoga,Central Coast,New South Wales
45,Davistown,Central Coast,New South Wales
46,Terrigal,Central Coast,New South Wales
