name,vacancy_rate,rental_stock,population,rental_pop,region,state
Braidwood,0.55,5,1647.0,21.54,Queanbeyan-Palerang Regional,New South Wales
Karabar,0.83,29,8241.0,26.85,Queanbeyan-Palerang Regional,New South Wales
Queanbeyan,1.41,48,6236.0,38.85,Queanbeyan-Palerang Regional,New South Wales
Queanbeyan West,1.24,17,3136.0,29.31,Queanbeyan-Palerang Regional,New South Wales
Jerrabomberra,0.63,21,9505.0,19.9,Queanbeyan-Palerang Regional,New South Wales
Googong,1.55,47,2691.0,6.39,Queanbeyan-Palerang Regional,New South Wales
Bombala,0.39,3,1387.0,20.0,Snowy Monaro Regional,New South Wales
Cooma,0.8,28,6681.0,25.95,Snowy Monaro Regional,New South Wales
Jindabyne,2.74,71,2628.0,29.76,Snowy Monaro Regional,New South Wales
Berridale,2.36,18,1194.0,19.66,Snowy Monaro Regional,New South Wales
Batemans Bay,1.07,13,1532.0,35.99,Eurobodalla,New South Wales
Bega,0.76,19,4670.0,28.83,Bega Valley,New South Wales
Tathra,0.72,8,1676.0,24.95,Bega Valley,New South Wales
Broulee,1.43,20,1717.0,16.13,Eurobodalla,New South Wales
Tomakin,,0,1001.0,12.8,Eurobodalla,New South Wales
Deua,,0,,,Eurobodalla,New South Wales
Wadbilliga,,0,,,Bega Valley,New South Wales
Eden,0.28,5,3151.0,26.88,Bega Valley,New South Wales
Merimbula,0.63,17,3542.0,24.52,Bega Valley,New South Wales
Tura Beach,0.23,4,3163.0,11.46,Bega Valley,New South Wales
Moruya,0.36,8,3977.0,20.84,Eurobodalla,New South Wales
Tuross Head,0.9,16,2241.0,13.05,Eurobodalla,New South Wales
Narooma,0.4,8,2607.0,20.12,Eurobodalla,New South Wales
Bermagui,,0,1542.0,17.57,Bega Valley,New South Wales
Goulburn,0.95,114,22418.0,28.62,Goulburn Mulwaree,New South Wales
Yass,0.48,15,6506.0,21.05,Yass Valley,New South Wales
Young,0.54,26,10297.0,26.15,Hilltops,New South Wales
Avoca Beach,0.8,19,4583.0,12.99,Central Coast,New South Wales
Copacabana,0.55,8,2730.0,15.43,Central Coast,New South Wales
Box Head,,0,,,Central Coast,New South Wales
Macmasters Beach,0.35,3,1293.0,9.27,Central Coast,New South Wales
