Suburb,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%),Previous month sales,Stock on market previous month,Stock variance vs. last year (%),Average days on market
Braidwood,789000.0,-1.26,-1.26,13.52,520.0,3.42,4.0,1.0,34.0,30.77,169.0
Karabar,750000.0,-1.19,-1.64,-5.9,640.0,4.43,-1.54,4.0,27.0,3.85,67.0
Queanbeyan,837000.0,3.65,11.6,2.19,600.0,3.72,3.44,6.0,27.0,17.39,89.0
Queanbeyan West,,,,,675.0,,6.29,1.0,10.0,0.0,46.0
Jerrabomberra,1185000.0,3.39,19.39,8.56,770.0,3.37,1.31,5.0,41.0,0.0,88.0
Googong,1075000.0,-1.42,2.38,3.81,800.0,3.86,2.56,7.0,109.0,-2.68,104.0
Bombala,412500.0,3.27,11.48,11.48,,,,0.0,17.0,6.25,201.0
Cooma,569000.0,0.35,-1.05,1.6,490.0,4.47,4.25,6.0,74.0,29.82,129.0
Jindabyne,1395000.0,-0.36,-7.0,-3.8,725.0,2.7,-9.38,1.0,32.0,45.45,133.0
Berridale,750000.0,0.0,-3.85,7.91,600.0,4.16,0.0,2.0,18.0,50.0,133.0
Batemans Bay,739000.0,0.0,1.3,1.65,470.0,3.3,4.44,5.0,22.0,-8.33,165.0
Bega,699500.0,-2.78,2.86,7.69,550.0,4.08,13.4,2.0,57.0,46.15,134.0
Tathra,1250000.0,-16.37,-10.66,0.0,600.0,2.49,0.0,0.0,25.0,19.05,153.0
Broulee,1195000.0,-1.92,-0.42,-4.4,635.0,2.76,5.83,3.0,15.0,-40.0,96.0
Tomakin,970000.0,4.86,2.1,3.74,,,,3.0,18.0,100.0,66.0
Deua,,,,,,,,,,,
Eden,856500.0,2.45,10.51,7.73,570.0,3.46,9.61,4.0,66.0,3.13,229.0
Merimbula,1125000.0,4.81,13.63,13.06,650.0,3.0,0.0,3.0,38.0,18.75,146.0
Tura Beach,985000.0,-2.0,-5.75,-5.07,670.0,3.53,11.66,8.0,55.0,37.5,113.0
Moruya,895000.0,0.11,-2.51,9.95,530.0,3.07,-3.64,4.0,25.0,-28.57,175.0
Tuross Head,849000.0,1.69,6.85,2.16,510.0,3.12,-7.28,7.0,54.0,38.46,138.0
Narooma,950000.0,5.03,16.63,5.61,500.0,2.73,-7.41,2.0,35.0,-14.63,285.0
Bermagui,1165000.0,-3.68,-2.47,6.88,,,,1.0,39.0,62.5,138.0
Goulburn,715000.0,1.42,3.62,-1.38,480.0,3.49,4.34,24.0,204.0,15.91,95.0
Yass,772500.0,-1.89,-2.22,-9.02,550.0,3.7,-1.79,4.0,72.0,-8.86,137.0
Young,532500.0,1.89,2.6,15.13,400.0,3.9,5.26,11.0,70.0,40.0,102.0
Avoca Beach,1750000.0,17.44,25.0,16.66,850.0,2.52,0.0,5.0,20.0,-25.93,118.0
Copacabana,1850000.0,-0.53,-7.5,-6.33,800.0,2.24,6.66,2.0,22.0,10.0,125.0
Macmasters Beach,2000000.0,0.0,-11.12,-2.44,800.0,2.08,-5.33,2.0,11.0,-15.38,79.0
Calga,,,,,,,,0.0,2.0,0.0,
Kulnura,,,,,,,,0.0,1.0,0.0,
Erina,780000.0,3.19,-13.34,-22.0,700.0,4.66,0.0,3.0,13.0,62.5,50.0
Gosford,955000.0,5.68,37.41,15.75,550.0,2.99,10.0,1.0,6.0,-25.0,
Springfield,,,,,,,,0.0,1.0,-66.67,
Kariong,950000.0,-0.53,1.33,5.55,670.0,3.66,9.83,3.0,12.0,-7.69,324.0
Kincumber,995000.0,4.73,15.69,13.06,680.0,3.55,5.42,4.0,23.0,21.05,64.0
Picketts Valley,,,,,,,,0.0,0.0,-100.0,
Narara,990000.0,3.66,6.73,17.85,650.0,3.41,12.06,3.0,28.0,-17.65,55.0
Niagara Park,839500.0,1.34,2.37,-0.66,620.0,3.84,6.89,1.0,5.0,25.0,70.0
Lisarow,1100000.0,2.22,10.0,8.91,660.0,3.12,-4.35,6.0,20.0,53.85,55.0
Point Clare,980000.0,0.25,8.88,-2.0,650.0,3.44,10.16,6.0,15.0,87.5,49.0
Koolewong,,,,,700.0,,7.69,0.0,7.0,600.0,
Saratoga,1560000.0,4.0,13.45,30.0,700.0,2.33,0.0,1.0,21.0,-12.5,76.0
Davistown,1200000.0,0.0,20.0,26.31,620.0,2.68,-11.43,2.0,14.0,7.69,76.0
Terrigal,1550000.0,3.33,3.33,3.33,820.0,2.75,2.5,11.0,88.0,83.33,67.0
North Avoca,1800000.0,-5.0,12.5,-2.71,890.0,2.57,7.87,4.0,12.0,20.0,119.0
Booker Bay,1725000.0,3.67,11.29,20.0,600.0,1.8,3.44,4.0,19.0,-20.83,136.0
Patonga,,,,,,,,0.0,6.0,50.0,
Wamberal,1649500.0,-4.38,-5.75,-2.98,890.0,2.8,19.46,2.0,31.0,0.0,73.0
Forresters Beach,1550000.0,-3.64,-8.83,-6.07,850.0,2.85,12.58,1.0,22.0,83.33,93.0
Woy Woy,975000.0,0.0,1.66,2.63,560.0,2.98,9.8,6.0,46.0,-9.8,74.0
Blackwall,1400000.0,-3.34,-12.5,12.0,675.0,2.5,29.8,1.0,15.0,25.0,78.0
Wyoming,864000.0,0.0,8.67,8.0,650.0,3.91,18.18,12.0,33.0,37.5,43.0
Bateau Bay,1190000.0,0.0,22.05,13.33,630.0,2.75,5.0,6.0,52.0,18.18,73.0
