,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%)
Braidwood,,,,,,,
Karabar,595000.0,-2.86,,,575.0,5.02,3.6
Queanbeyan,589000.0,0.0,-1.84,-1.84,545.0,4.81,4.8
Queanbeyan West,,,,,,,
Jerrabomberra,632000.0,-14.52,-20.96,-20.0,560.0,4.6,-0.89
Googong,726500.0,0.0,-0.21,10.07,650.0,4.65,1.56
Bombala,,,,,,,
Cooma,,,,,,,
Jindabyne,1050000.0,-4.11,-2.1,,610.0,3.02,7.01
Berridale,,,,,,,
Batemans Bay,,,,,,,
Bega,,,,,,,
Tathra,,,,,,,
Broulee,,,,,,,
Tomakin,,,,,,,
Deua,,,,,,,
Eden,,,,,,,
Merimbula,750000.0,0.0,0.06,-15.45,550.0,3.81,
Tura Beach,749000.0,-1.37,-9.22,-9.76,600.0,4.16,
Moruya,,,,,,,
Tuross Head,,,,,,,
Narooma,612000.0,4.34,-3.63,-1.14,425.0,3.61,-5.56
Bermagui,855000.0,0.0,2.95,,,,
Goulburn,595000.0,0.0,-3.57,-8.33,450.0,3.93,0.0
Yass,,,,,480.0,,9.09
Young,,,,,,,
Avoca Beach,,,,,725.0,,3.57
Copacabana,,,,,,,
Macmasters Beach,,,,,,,
Calga,,,,,,,
Kulnura,,,,,,,
Erina,,,,,,,
Gosford,,,,,500.0,,6.38
Springfield,,,,,,,
Kariong,,,,,,,
Kincumber,,,,,560.0,,16.66
Picketts Valley,,,,,,,
Narara,,,,,550.0,,12.24
Niagara Park,,,,,,,
Lisarow,,,,,,,
Point Clare,,,,,550.0,,
Koolewong,,,,,,,
Saratoga,,,,,,,
Davistown,,,,,,,
Terrigal,1200000.0,2.12,9.09,21.21,750.0,3.25,8.69
North Avoca,,,,,,,
Booker Bay,1187500.0,-8.34,32.68,25.0,565.0,2.47,2.72
Patonga,,,,,,,
Wamberal,,,,,735.0,,13.07
Forresters Beach,,,,,,,
Woy Woy,700000.0,0.07,0.71,6.06,530.0,3.93,6.0
Blackwall,,,,,,,
Wyoming,630000.0,-7.25,-0.79,,500.0,4.12,0.0
Bateau Bay,430000.0,-27.43,-36.54,-40.2,595.0,7.19,-0.84
Killarney Vale,,,,,,,
Blue Haven,,,,,,,
San Remo,,,,,,,
Budgewoi,,,,,,,
Buff Point,,,,,,,
Halekulani,482000.0,,0.41,44.09,,,
Chittaway Bay,,,,,,,
Tumbi Umbi,,,,,,,
Gorokan,510000.0,-3.23,4.08,2.0,450.0,4.58,0.0
Kanwal,,,,,,,
Charmhaven,,,,,,,
Jilliby,,,,,,,
Yarramalong,,,,,,,
Lake Munmorah,364500.0,14.98,-15.73,-24.07,,,
Mannering Park,,,,,,,
Ourimbah,,,,,515.0,,-4.63
Fountaindale,,,,,,,
Summerland Point,,,,,,,
Gwandalan,,,,,,,
The Entrance,850000.0,0.0,0.0,18.88,540.0,3.3,8.0
Toukley,630000.0,-5.98,11.5,,,,
Norah Head,,,,,,,
Tuggerah,,,,,,,
Kangy Angy,,,,,,,
Warnervale,,,,,,,
Wadalba,,,,,470.0,,-2.09
Wyong,550000.0,,14.58,61.76,515.0,4.86,9.57
